연도,주차,연령대,응급실 인플루엔자 환자
2025,13,19-49세,398
2025,14,19-49세,425
2025,15,19-49세,620
2025,16,19-49세,613
2025,17,19-49세,507
2025,18,19-49세,357
2025,19,19-49세,491
2025,20,19-49세,246
2025,21,19-49세,162
2025,22,19-49세,114
2025,23,19-49세,94
2025,24,19-49세,54
2025,25,19-49세,37
2025,26,19-49세,38
2025,27,19-49세,45
2025,28,19-49세,37
2025,29,19-49세,35
2025,30,19-49세,56
2025,31,19-49세,53
2025,32,19-49세,44
2025,33,19-49세,73
2025,34,19-49세,77
2025,35,19-49세,66
2024,36,13-18세,10
2024,37,13-18세,6
2024,38,13-18세,8
2024,39,13-18세,11
2024,40,13-18세,13
2024,41,13-18세,13
2024,42,13-18세,13
2024,43,13-18세,15
2024,44,13-18세,20
2024,45,13-18세,24
2024,46,13-18세,34
2024,47,13-18세,30
2024,48,13-18세,70
2024,49,13-18세,111
2024,50,13-18세,329
2024,51,13-18세,895
2024,52,13-18세,2880
2024,53,13-18세,2880
2025,1,13-18세,3953
2025,2,13-18세,1686
2025,3,13-18세,653
2025,4,13-18세,223
2025,5,13-18세,222
2025,6,13-18세,62
2025,7,13-18세,74
2025,8,13-18세,50
2025,9,13-18세,51
2025,10,13-18세,69
2025,11,13-18세,140
2025,12,13-18세,286
2025,13,13-18세,450
2025,14,13-18세,462
2025,15,13-18세,623
2025,16,13-18세,653
2025,17,13-18세,402
2025,18,13-18세,259
2025,19,13-18세,244
2025,20,13-18세,81
2025,21,13-18세,81
2025,22,13-18세,51
2025,23,13-18세,34
2025,24,13-18세,16
2025,25,13-18세,10
2025,26,13-18세,16
2025,27,13-18세,16
2025,28,13-18세,6
2025,29,13-18세,17
2025,30,13-18세,8
2025,31,13-18세,10
2025,32,13-18세,13
2025,33,13-18세,7
2025,34,13-18세,11
2025,35,13-18세,13
2024,36,7-12세,4
2024,37,7-12세,9
2024,38,7-12세,11
2024,39,7-12세,8
2024,40,7-12세,11
2024,41,7-12세,14
2024,42,7-12세,16
2024,43,7-12세,26
2024,44,7-12세,23
2024,45,7-12세,25
2024,46,7-12세,35
2024,47,7-12세,27
2024,48,7-12세,69
2024,49,7-12세,102
2024,50,7-12세,293
2024,51,7-12세,949
2024,52,7-12세,2882
2024,53,7-12세,2882
2025,1,7-12세,4018
2025,2,7-12세,2122
2025,3,7-12세,1073
2025,4,7-12세,493
2025,5,7-12세,458
2025,6,7-12세,110
2025,7,7-12세,119
2025,8,7-12세,103
2025,9,7-12세,90
2025,10,7-12세,88
2025,11,7-12세,191
2025,12,7-12세,318
2025,13,7-12세,487
2025,14,7-12세,505
2025,15,7-12세,723
2025,16,7-12세,758
2025,17,7-12세,571
2025,18,7-12세,390
2025,19,7-12세,354
2025,20,7-12세,145
2025,21,7-12세,104
2025,22,7-12세,76
2025,23,7-12세,52
2025,24,7-12세,25
2025,25,7-12세,23
2025,26,7-12세,14
2025,27,7-12세,19
2025,28,7-12세,12
2025,29,7-12세,17
2025,30,7-12세,14
2025,31,7-12세,21
2025,32,7-12세,6
2025,33,7-12세,10
2025,34,7-12세,13
2025,35,7-12세,22
2024,36,1-6세,8
2024,37,1-6세,11
2024,38,1-6세,11
2024,39,1-6세,7
2024,40,1-6세,5
2024,41,1-6세,6
2024,42,1-6세,5
2024,43,1-6세,2
2024,44,1-6세,11
2024,45,1-6세,15
2024,46,1-6세,16
2024,47,1-6세,24
2024,48,1-6세,23
2024,49,1-6세,41
2024,50,1-6세,135
2024,51,1-6세,416
2024,52,1-6세,1543
2024,53,1-6세,1543
2025,1,1-6세,2134
2025,2,1-6세,1533
2025,3,1-6세,1175
2025,4,1-6세,658
2025,5,1-6세,516
2025,6,1-6세,131
2025,7,1-6세,107
2025,8,1-6세,88
2025,9,1-6세,79
2025,10,1-6세,46
2025,11,1-6세,46
2025,12,1-6세,82
2025,13,1-6세,76
2025,14,1-6세,96
2025,15,1-6세,128
2025,16,1-6세,153
2025,17,1-6세,129
2025,18,1-6세,82
2025,19,1-6세,90
2025,20,1-6세,56
2025,21,1-6세,45
2025,22,1-6세,45
2025,23,1-6세,25
2025,24,1-6세,12
2025,25,1-6세,13
2025,26,1-6세,16
2025,27,1-6세,18
2025,28,1-6세,9
2025,29,1-6세,14
2025,30,1-6세,15
2025,31,1-6세,17
2025,32,1-6세,14
2025,33,1-6세,9
2025,34,1-6세,20
2025,35,1-6세,16
2024,36,0세,2
2024,37,0세,0
2024,38,0세,2
2024,39,0세,0
2024,40,0세,1
2024,41,0세,3
2024,42,0세,1
2024,43,0세,0
2024,44,0세,1
2024,45,0세,3
2024,46,0세,3
2024,47,0세,3
2024,48,0세,3
2024,49,0세,6
2024,50,0세,14
2024,51,0세,57
2024,52,0세,214
2024,53,0세,214
2025,1,0세,365
2025,2,0세,231
2025,3,0세,105
2025,4,0세,51
2025,5,0세,53
2025,6,0세,16
2025,7,0세,1
2025,8,0세,5
2025,9,0세,6
2025,10,0세,6
2025,11,0세,3
2025,12,0세,13
2025,13,0세,6
2025,14,0세,4
2025,15,0세,5
2025,16,0세,9
2025,17,0세,10
2025,18,0세,3
2025,19,0세,8
2025,20,0세,5
2025,21,0세,4
2025,22,0세,1
2025,23,0세,6
2025,24,0세,0
2025,25,0세,1
2025,26,0세,2
2025,27,0세,1
2025,28,0세,1
2025,29,0세,1
2025,30,0세,1
2025,31,0세,1
2025,32,0세,1
2025,33,0세,4
2025,34,0세,1
2025,35,0세,1
