연도,주차,연령대,응급실 인플루엔자 환자
2019,7,50-64세,140
2019,8,50-64세,147
2019,9,50-64세,147
2019,10,50-64세,121
2019,11,50-64세,106
2019,12,50-64세,166
2019,13,50-64세,225
2019,14,50-64세,234
2019,15,50-64세,315
2019,16,50-64세,288
2019,17,50-64세,299
2019,18,50-64세,175
2019,19,50-64세,132
2019,20,50-64세,76
2019,21,50-64세,49
2019,22,50-64세,29
2019,23,50-64세,19
2019,24,50-64세,11
2019,25,50-64세,6
2019,26,50-64세,9
2019,27,50-64세,7
2019,28,50-64세,5
2019,29,50-64세,7
2019,30,50-64세,3
2019,31,50-64세,4
2019,32,50-64세,4
2019,33,50-64세,3
2019,34,50-64세,5
2019,35,50-64세,2
2018,36,19-49세,11
2018,37,19-49세,11
2018,38,19-49세,16
2018,39,19-49세,20
2018,40,19-49세,43
2018,41,19-49세,28
2018,42,19-49세,31
2018,43,19-49세,88
2018,44,19-49세,158
2018,45,19-49세,259
2018,46,19-49세,412
2018,47,19-49세,691
2018,48,19-49세,1552
2018,49,19-49세,2785
2018,50,19-49세,4806
2018,51,19-49세,9124
2018,52,19-49세,11989
2018,53,19-49세,11989
2019,1,19-49세,9182
2019,2,19-49세,3649
2019,3,19-49세,1736
2019,4,19-49세,898
2019,5,19-49세,661
2019,6,19-49세,1191
2019,7,19-49세,395
2019,8,19-49세,443
2019,9,19-49세,635
2019,10,19-49세,522
2019,11,19-49세,696
2019,12,19-49세,1179
2019,13,19-49세,1729
2019,14,19-49세,2162
2019,15,19-49세,2934
2019,16,19-49세,2879
2019,17,19-49세,2081
2019,18,19-49세,1116
2019,19,19-49세,766
2019,20,19-49세,467
2019,21,19-49세,244
2019,22,19-49세,148
2019,23,19-49세,87
2019,24,19-49세,56
2019,25,19-49세,27
2019,26,19-49세,38
2019,27,19-49세,25
2019,28,19-49세,20
2019,29,19-49세,12
2019,30,19-49세,22
2019,31,19-49세,14
2019,32,19-49세,11
2019,33,19-49세,11
2019,34,19-49세,12
2019,35,19-49세,7
2018,36,13-18세,3
2018,37,13-18세,2
2018,38,13-18세,1
2018,39,13-18세,5
2018,40,13-18세,4
2018,41,13-18세,4
2018,42,13-18세,5
2018,43,13-18세,12
2018,44,13-18세,28
2018,45,13-18세,100
2018,46,13-18세,195
2018,47,13-18세,333
2018,48,13-18세,891
2018,49,13-18세,1664
2018,50,13-18세,2506
2018,51,13-18세,3988
2018,52,13-18세,3710
2018,53,13-18세,3710
2019,1,13-18세,1673
2019,2,13-18세,497
2019,3,13-18세,166
2019,4,13-18세,71
2019,5,13-18세,60
2019,6,13-18세,112
2019,7,13-18세,50
2019,8,13-18세,58
2019,9,13-18세,55
2019,10,13-18세,127
2019,11,13-18세,291
2019,12,13-18세,641
2019,13,13-18세,1065
2019,14,13-18세,1138
2019,15,13-18세,1415
2019,16,13-18세,1105
2019,17,13-18세,715
2019,18,13-18세,318
2019,19,13-18세,198
2019,20,13-18세,114
2019,21,13-18세,69
2019,22,13-18세,34
2019,23,13-18세,17
2019,24,13-18세,13
2019,25,13-18세,5
2019,26,13-18세,4
2019,27,13-18세,6
2019,28,13-18세,1
2019,29,13-18세,3
2019,30,13-18세,0
2019,31,13-18세,2
2019,32,13-18세,2
2019,33,13-18세,2
2019,34,13-18세,2
2019,35,13-18세,4
2018,36,7-12세,1
2018,37,7-12세,6
2018,38,7-12세,4
2018,39,7-12세,11
2018,40,7-12세,9
2018,41,7-12세,17
2018,42,7-12세,40
2018,43,7-12세,75
2018,44,7-12세,173
2018,45,7-12세,318
2018,46,7-12세,384
2018,47,7-12세,494
2018,48,7-12세,1027
2018,49,7-12세,1552
2018,50,7-12세,2302
2018,51,7-12세,3957
2018,52,7-12세,4581
2018,53,7-12세,4581
2019,1,7-12세,2253
2019,2,7-12세,641
2019,3,7-12세,299
2019,4,7-12세,147
2019,5,7-12세,130
2019,6,7-12세,289
2019,7,7-12세,65
2019,8,7-12세,93
2019,9,7-12세,122
2019,10,7-12세,123
2019,11,7-12세,305
2019,12,7-12세,698
2019,13,7-12세,1133
2019,14,7-12세,1444
2019,15,7-12세,1876
2019,16,7-12세,1973
2019,17,7-12세,1387
2019,18,7-12세,704
2019,19,7-12세,426
2019,20,7-12세,231
2019,21,7-12세,97
2019,22,7-12세,66
2019,23,7-12세,43
2019,24,7-12세,15
2019,25,7-12세,11
2019,26,7-12세,5
2019,27,7-12세,4
2019,28,7-12세,4
2019,29,7-12세,1
2019,30,7-12세,2
2019,31,7-12세,3
2019,32,7-12세,2
2019,33,7-12세,0
2019,34,7-12세,1
2019,35,7-12세,1
2018,36,1-6세,8
2018,37,1-6세,5
2018,38,1-6세,14
2018,39,1-6세,14
2018,40,1-6세,11
2018,41,1-6세,31
2018,42,1-6세,46
2018,43,1-6세,125
2018,44,1-6세,162
2018,45,1-6세,359
2018,46,1-6세,409
2018,47,1-6세,520
2018,48,1-6세,865
2018,49,1-6세,1384
2018,50,1-6세,2261
2018,51,1-6세,4107
2018,52,1-6세,5020
2018,53,1-6세,5020
2019,1,1-6세,2908
2019,2,1-6세,1485
2019,3,1-6세,1037
2019,4,1-6세,571
2019,5,1-6세,488
2019,6,1-6세,725
2019,7,1-6세,313
2019,8,1-6세,438
2019,9,1-6세,493
2019,10,1-6세,369
2019,11,1-6세,596
2019,12,1-6세,1015
2019,13,1-6세,1455
2019,14,1-6세,1849
2019,15,1-6세,2404
2019,16,1-6세,2556
2019,17,1-6세,1909
2019,18,1-6세,1067
2019,19,1-6세,671
2019,20,1-6세,410
2019,21,1-6세,222
2019,22,1-6세,95
2019,23,1-6세,45
2019,24,1-6세,25
2019,25,1-6세,12
2019,26,1-6세,15
2019,27,1-6세,9
2019,28,1-6세,7
2019,29,1-6세,3
2019,30,1-6세,2
2019,31,1-6세,2
2019,32,1-6세,5
2019,33,1-6세,3
2019,34,1-6세,4
2019,35,1-6세,2
2018,36,0세,1
2018,37,0세,0
2018,38,0세,2
2018,39,0세,2
2018,40,0세,2
2018,41,0세,2
2018,42,0세,3
2018,43,0세,7
2018,44,0세,21
2018,45,0세,32
2018,46,0세,39
2018,47,0세,69
2018,48,0세,98
2018,49,0세,199
2018,50,0세,296
2018,51,0세,508
2018,52,0세,639
2018,53,0세,639
2019,1,0세,459
2019,2,0세,220
2019,3,0세,111
2019,4,0세,84
2019,5,0세,58
2019,6,0세,87
2019,7,0세,27
2019,8,0세,42
2019,9,0세,48
2019,10,0세,41
2019,11,0세,42
2019,12,0세,65
2019,13,0세,91
2019,14,0세,101
2019,15,0세,163
2019,16,0세,161
2019,17,0세,140
2019,18,0세,72
2019,19,0세,51
2019,20,0세,28
2019,21,0세,19
2019,22,0세,7
2019,23,0세,4
2019,24,0세,3
2019,25,0세,0
2019,26,0세,1
2019,27,0세,1
2019,28,0세,1
2019,29,0세,0
2019,30,0세,0
2019,31,0세,0
2019,32,0세,1
2019,33,0세,0
2019,34,0세,0
2019,35,0세,0
