연도,주차,연령대,응급실 인플루엔자 환자
2023,28,13-18세,206
2023,29,13-18세,324
2023,30,13-18세,176
2023,31,13-18세,134
2023,32,13-18세,103
2023,33,13-18세,82
2023,34,13-18세,72
2023,35,13-18세,105
2022,36,7-12세,1
2022,37,7-12세,8
2022,38,7-12세,5
2022,39,7-12세,0
2022,40,7-12세,11
2022,41,7-12세,13
2022,42,7-12세,20
2022,43,7-12세,26
2022,44,7-12세,45
2022,45,7-12세,83
2022,46,7-12세,148
2022,47,7-12세,205
2022,48,7-12세,200
2022,49,7-12세,268
2022,50,7-12세,670
2022,51,7-12세,1110
2022,52,7-12세,1564
2022,53,7-12세,2050
2023,1,7-12세,1409
2023,2,7-12세,545
2023,3,7-12세,348
2023,4,7-12세,351
2023,5,7-12세,105
2023,6,7-12세,144
2023,7,7-12세,145
2023,8,7-12세,83
2023,9,7-12세,96
2023,10,7-12세,123
2023,11,7-12세,142
2023,12,7-12세,200
2023,13,7-12세,243
2023,14,7-12세,331
2023,15,7-12세,489
2023,16,7-12세,633
2023,17,7-12세,566
2023,18,7-12세,848
2023,19,7-12세,776
2023,20,7-12세,866
2023,21,7-12세,823
2023,22,7-12세,705
2023,23,7-12세,494
2023,24,7-12세,284
2023,25,7-12세,257
2023,26,7-12세,347
2023,27,7-12세,442
2023,28,7-12세,505
2023,29,7-12세,721
2023,30,7-12세,780
2023,31,7-12세,476
2023,32,7-12세,225
2023,33,7-12세,151
2023,34,7-12세,136
2023,35,7-12세,230
2022,36,1-6세,1
2022,37,1-6세,14
2022,38,1-6세,10
2022,39,1-6세,12
2022,40,1-6세,17
2022,41,1-6세,26
2022,42,1-6세,30
2022,43,1-6세,24
2022,44,1-6세,43
2022,45,1-6세,54
2022,46,1-6세,96
2022,47,1-6세,120
2022,48,1-6세,201
2022,49,1-6세,205
2022,50,1-6세,473
2022,51,1-6세,883
2022,52,1-6세,1307
2022,53,1-6세,1750
2023,1,1-6세,1110
2023,2,1-6세,884
2023,3,1-6세,671
2023,4,1-6세,726
2023,5,1-6세,244
2023,6,1-6세,331
2023,7,1-6세,242
2023,8,1-6세,237
2023,9,1-6세,171
2023,10,1-6세,173
2023,11,1-6세,212
2023,12,1-6세,217
2023,13,1-6세,250
2023,14,1-6세,372
2023,15,1-6세,486
2023,16,1-6세,571
2023,17,1-6세,553
2023,18,1-6세,684
2023,19,1-6세,633
2023,20,1-6세,609
2023,21,1-6세,601
2023,22,1-6세,568
2023,23,1-6세,412
2023,24,1-6세,242
2023,25,1-6세,242
2023,26,1-6세,282
2023,27,1-6세,327
2023,28,1-6세,352
2023,29,1-6세,428
2023,30,1-6세,453
2023,31,1-6세,339
2023,32,1-6세,230
2023,33,1-6세,236
2023,34,1-6세,190
2023,35,1-6세,193
2022,36,0세,0
2022,37,0세,2
2022,38,0세,3
2022,39,0세,0
2022,40,0세,1
2022,41,0세,1
2022,42,0세,1
2022,43,0세,2
2022,44,0세,2
2022,45,0세,1
2022,46,0세,4
2022,47,0세,5
2022,48,0세,11
2022,49,0세,19
2022,50,0세,17
2022,51,0세,32
2022,52,0세,69
2022,53,0세,73
2023,1,0세,58
2023,2,0세,49
2023,3,0세,32
2023,4,0세,27
2023,5,0세,19
2023,6,0세,13
2023,7,0세,18
2023,8,0세,8
2023,9,0세,8
2023,10,0세,7
2023,11,0세,6
2023,12,0세,18
2023,13,0세,15
2023,14,0세,13
2023,15,0세,21
2023,16,0세,20
2023,17,0세,27
2023,18,0세,33
2023,19,0세,32
2023,20,0세,38
2023,21,0세,32
2023,22,0세,25
2023,23,0세,13
2023,24,0세,11
2023,25,0세,7
2023,26,0세,20
2023,27,0세,17
2023,28,0세,12
2023,29,0세,21
2023,30,0세,21
2023,31,0세,17
2023,32,0세,8
2023,33,0세,13
2023,34,0세,14
2023,35,0세,13
