연도,주차,연령대,의사환자 분율
2019,30,50-64세,1.5
2019,31,50-64세,1.3
2019,32,50-64세,1.4
2019,33,50-64세,1.7
2019,34,50-64세,1.7
2019,35,50-64세,2.5
2018,36,19-49세,4.0
2018,37,19-49세,5.7
2018,38,19-49세,4.9
2018,39,19-49세,4.9
2018,40,19-49세,4.1
2018,41,19-49세,4.1
2018,42,19-49세,3.1
2018,43,19-49세,4.6
2018,44,19-49세,4.5
2018,45,19-49세,6.6
2018,46,19-49세,9.6
2018,47,19-49세,12.2
2018,48,19-49세,20.3
2018,49,19-49세,37.5
2018,50,19-49세,54.9
2018,51,19-49세,79.6
2018,52,19-49세,82.8
2018,53,19-49세,82.8
2019,1,19-49세,65.3
2019,2,19-49세,43.2
2019,3,19-49세,28.3
2019,4,19-49세,19.0
2019,5,19-49세,14.8
2019,6,19-49세,13.8
2019,7,19-49세,10.3
2019,8,19-49세,10.6
2019,9,19-49세,10.0
2019,10,19-49세,10.6
2019,11,19-49세,11.1
2019,12,19-49세,18.5
2019,13,19-49세,21.7
2019,14,19-49세,25.5
2019,15,19-49세,33.1
2019,16,19-49세,32.6
2019,17,19-49세,0.0
2019,18,19-49세,19.6
2019,19,19-49세,13.7
2019,20,19-49세,8.5
2019,21,19-49세,6.4
2019,22,19-49세,4.6
2019,23,19-49세,4.3
2019,24,19-49세,4.4
2019,25,19-49세,3.6
2019,26,19-49세,2.7
2019,27,19-49세,3.5
2019,28,19-49세,3.7
2019,29,19-49세,3.2
2019,30,19-49세,4.1
2019,31,19-49세,3.7
2019,32,19-49세,3.7
2019,33,19-49세,3.5
2019,34,19-49세,4.0
2019,35,19-49세,3.0
2018,36,13-18세,4.0
2018,37,13-18세,5.2
2018,38,13-18세,4.5
2018,39,13-18세,4.7
2018,40,13-18세,5.7
2018,41,13-18세,5.3
2018,42,13-18세,3.4
2018,43,13-18세,5.3
2018,44,13-18세,6.3
2018,45,13-18세,9.9
2018,46,13-18세,16.7
2018,47,13-18세,24.0
2018,48,13-18세,52.8
2018,49,13-18세,86.9
2018,50,13-18세,137.0
2018,51,13-18세,166.5
2018,52,13-18세,148.9
2018,53,13-18세,148.9
2019,1,13-18세,94.4
2019,2,13-18세,45.4
2019,3,13-18세,29.1
2019,4,13-18세,14.8
2019,5,13-18세,14.5
2019,6,13-18세,7.4
2019,7,13-18세,8.8
2019,8,13-18세,5.5
2019,9,13-18세,8.3
2019,10,13-18세,14.1
2019,11,13-18세,22.8
2019,12,13-18세,47.9
2019,13,13-18세,71.6
2019,14,13-18세,90.0
2019,15,13-18세,88.3
2019,16,13-18세,87.9
2019,17,13-18세,0.0
2019,18,13-18세,47.2
2019,19,13-18세,21.9
2019,20,13-18세,17.0
2019,21,13-18세,11.2
2019,22,13-18세,8.8
2019,23,13-18세,4.2
2019,24,13-18세,5.1
2019,25,13-18세,4.2
2019,26,13-18세,2.2
2019,27,13-18세,4.0
2019,28,13-18세,3.1
2019,29,13-18세,3.7
2019,30,13-18세,2.9
2019,31,13-18세,4.7
2019,32,13-18세,5.5
2019,33,13-18세,3.7
2019,34,13-18세,3.0
2019,35,13-18세,2.1
2018,36,7-12세,6.2
2018,37,7-12세,5.8
2018,38,7-12세,6.1
2018,39,7-12세,8.0
2018,40,7-12세,4.3
2018,41,7-12세,8.0
2018,42,7-12세,4.8
2018,43,7-12세,8.0
2018,44,7-12세,10.8
2018,45,7-12세,18.6
2018,46,7-12세,24.3
2018,47,7-12세,34.6
2018,48,7-12세,47.4
2018,49,7-12세,84.6
2018,50,7-12세,112.3
2018,51,7-12세,159.2
2018,52,7-12세,160.5
2018,53,7-12세,160.5
2019,1,7-12세,110.8
2019,2,7-12세,56.2
2019,3,7-12세,39.5
2019,4,7-12세,22.3
2019,5,7-12세,16.2
2019,6,7-12세,13.3
2019,7,7-12세,9.7
2019,8,7-12세,15.7
2019,9,7-12세,13.3
2019,10,7-12세,19.3
2019,11,7-12세,30.9
2019,12,7-12세,51.9
2019,13,7-12세,67.1
2019,14,7-12세,86.6
2019,15,7-12세,127.5
2019,16,7-12세,123.4
2019,17,7-12세,0.0
2019,18,7-12세,56.8
2019,19,7-12세,34.4
2019,20,7-12세,25.0
2019,21,7-12세,16.6
2019,22,7-12세,10.8
2019,23,7-12세,7.8
2019,24,7-12세,7.8
2019,25,7-12세,7.7
2019,26,7-12세,7.1
2019,27,7-12세,6.4
2019,28,7-12세,5.6
2019,29,7-12세,6.0
2019,30,7-12세,4.5
2019,31,7-12세,4.0
2019,32,7-12세,5.7
2019,33,7-12세,3.2
2019,34,7-12세,3.4
2019,35,7-12세,4.8
2018,36,1-6세,6.9
2018,37,1-6세,6.0
2018,38,1-6세,7.1
2018,39,1-6세,3.7
2018,40,1-6세,5.7
2018,41,1-6세,4.9
2018,42,1-6세,6.6
2018,43,1-6세,7.6
2018,44,1-6세,8.8
2018,45,1-6세,11.6
2018,46,1-6세,16.4
2018,47,1-6세,17.7
2018,48,1-6세,22.9
2018,49,1-6세,33.6
2018,50,1-6세,46.1
2018,51,1-6세,68.0
2018,52,1-6세,79.6
2018,53,1-6세,79.6
2019,1,1-6세,59.8
2019,2,1-6세,46.7
2019,3,1-6세,36.5
2019,4,1-6세,22.5
2019,5,1-6세,16.0
2019,6,1-6세,14.0
2019,7,1-6세,13.3
2019,8,1-6세,12.8
2019,9,1-6세,12.9
2019,10,1-6세,14.1
2019,11,1-6세,16.7
2019,12,1-6세,25.4
2019,13,1-6세,32.9
2019,14,1-6세,37.6
2019,15,1-6세,50.4
2019,16,1-6세,57.6
2019,17,1-6세,0.0
2019,18,1-6세,34.9
2019,19,1-6세,21.6
2019,20,1-6세,18.1
2019,21,1-6세,10.1
2019,22,1-6세,8.3
2019,23,1-6세,8.2
2019,24,1-6세,8.0
2019,25,1-6세,7.3
2019,26,1-6세,7.3
2019,27,1-6세,8.6
2019,28,1-6세,6.9
2019,29,1-6세,8.0
2019,30,1-6세,8.0
2019,31,1-6세,7.0
2019,32,1-6세,5.6
2019,33,1-6세,4.1
2019,34,1-6세,5.6
2019,35,1-6세,5.5
2018,36,0세,1.4
2018,37,0세,1.5
2018,38,0세,2.1
2018,39,0세,2.0
2018,40,0세,1.6
2018,41,0세,1.9
2018,42,0세,3.3
2018,43,0세,3.1
2018,44,0세,2.8
2018,45,0세,3.9
2018,46,0세,7.3
2018,47,0세,5.6
2018,48,0세,13.5
2018,49,0세,12.2
2018,50,0세,17.5
2018,51,0세,29.2
2018,52,0세,25.5
2018,53,0세,25.5
2019,1,0세,24.9
2019,2,0세,16.7
2019,3,0세,14.2
2019,4,0세,6.5
2019,5,0세,4.8
2019,6,0세,4.5
2019,7,0세,4.0
2019,8,0세,5.4
2019,9,0세,4.0
2019,10,0세,5.7
2019,11,0세,7.8
2019,12,0세,6.8
2019,13,0세,10.1
2019,14,0세,10.5
2019,15,0세,13.4
2019,16,0세,14.7
2019,17,0세,0.0
2019,18,0세,16.7
2019,19,0세,8.7
2019,20,0세,8.8
2019,21,0세,4.2
2019,22,0세,4.3
2019,23,0세,6.3
2019,24,0세,5.1
2019,25,0세,3.4
2019,26,0세,3.9
2019,27,0세,3.7
2019,28,0세,1.1
2019,29,0세,2.2
2019,30,0세,2.7
2019,31,0세,1.9
2019,32,0세,1.7
2019,33,0세,1.7
2019,34,0세,1.2
2019,35,0세,2.5
